,Word,Count
8,great,765
15,american,370
28,many,368
45,good,330
120,more,324
29,other,292
6,big,216
76,last,170
54,right,170
13,incredible,159
65,tremendous,152
2,first,139
62,new,136
3,important,119
69,bad,113
82,strong,102
11,little,99
49,different,93
20,few,91
24,inaudible,90
43,proud,89
31,long,88
103,better,81
147,tough,79
75,happy,76
59,whole,76
41,best,76
30,same,72
110,greatest,72
298,perfect,71
61,fantastic,70
64,nice,70
94,able,69
108,grateful,63
182,hispanic,61
55,next,60
91,beautiful,58
123,free,56
210,economic,56
48,okay,56
114,own,54
33,true,51
16,amazing,49
89,largest,48
27,much,46
306,corrupt,45
35,sure,45
77,real,42
173,small,42
44,special,42
193,wonderful,41
73,terrible,41
265,foreign,41
212,clear,41
83,powerful,40
23,young,37
72,horrible,36
51,single,36
250,only,36
150,military,36
137,safe,35
0,ready,35
34,hard,35
158,fair,34
203,religious,34
119,biggest,33
118,national,33
37,close,33
46,easy,33
53,possible,31
153,most,31
170,bigger,30
384,federal,30
70,fake,30
21,historic,29
26,second,28
181,african,27
310,crazy,27
180,lowest,27
84,stronger,27
68,worst,26
202,human,26
157,smart,26
320,agricultural,26
301,wrong,25
164,certain,25
230,italian,24
445,chinese,24
319,old,23
166,extraordinary,23
168,particular,23
85,strongest,22
287,less,22
308,large,22
199,international,22
351,radical,22
467,republican,22
1,exciting,22
399,anti,21
4,short,21
160,open,21
313,sad,20
10,interesting,20
397,criminal,20
97,outstanding,20
88,financial,20
291,highest,20
323,political,20
98,successful,20
330,final,19
276,fine,19
359,total,19
309,phony,18
189,massive,18
470,prosperous,18
279,endless,18
284,unfair,18
493,such,18
19,high,18
109,simple,17
896,venezuelan,17
144,glad,17
101,terrific,17
74,full,17
188,reciprocal,17
362,sorry,17
285,major,16
92,european,16
509,executive,16
125,armed,16
300,exact,16
354,public,15
480,conservative,15
288,greater,15
102,low,15
228,innocent,15
266,social,15
141,tougher,15
299,top,15
670,illegal,14
14,brave,14
440,red,14
283,intellectual,14
124,common,14
5,busy,14
490,critical,14
375,personal,14
167,talented,14
621,japanese,14
185,natural,14
372,ukrainian,14
530,third,14
520,democratic,14
209,past,13
156,worse,13
32,willing,13
214,confident,13
795,finnish,13
176,higher,13
186,lower,13
261,global,13
80,unconventional,13
96,quid,13
138,secure,13
146,various,12
106,warm,12
198,peaceful,12
438,legal,12
432,socialist,12
326,least,12
148,phenomenal,12
130,vital,12
226,several,12
498,digital,12
337,enough,12
302,false,11
510,regulatory,11
473,southern,11
314,honest,11
194,deep,11
322,unbelievable,11
225,additional,11
381,serious,11
622,remarkable,11
293,concerned,11
429,expensive,11
177,previous,11
139,early,11
57,correct,10
411,central,10
163,difficult,10
63,positive,10
256,delighted,10
403,hardest,10
477,local,10
316,left,10
140,rough,10
155,sudden,10
126,safer,10
191,private,10
127,pleased,10
128,fellow,10
129,turkish,10
233,diplomatic,9
347,crucial,9
497,level,9
754,opioid,9
234,distinguished,9
341,easier,9
816,mental,9
334,exceptional,9
739,russian,9
647,independent,9
100,surprised,9
307,nuclear,9
305,average,9
99,dangerous,9
713,appropriate,9
441,substantial,9
394,recent,9
406,huge,9
419,dishonest,9
229,stable,8
39,significant,8
318,entire,8
107,45th,8
232,respected,8
121,active,8
335,careful,8
295,fraudulent,8
224,humanitarian,8
183,asian,8
437,inaccurate,8
42,brilliant,8
274,friendly,8
464,ridiculous,8
216,christian,8
